词语	强度	极性
景观	midsubj	positive
敬信	strongsubj	positive
救亡	weaksubj	positive
据实	weaksubj	positive
眷怀	midsubj	positive
哀鸿遍野	strongsubj	negative
肮里肮脏	midsubj	negative
冰炭不相容	strongsubj	0
英姿飒爽	strongsubj	positive
有礼	strongsubj	positive
易如反掌	strongsubj	positive
为人正直	strongsubj	positive
心地纯良	strongsubj	positive
不成话	midsubj	negative
昭然若揭	strongsubj	negative
有口无心	strongsubj	negative
有眼力	strongsubj	positive
不干不净	weaksubj	negative
异彩纷呈	strongsubj	positive
学富五车	strongsubj	positive
心灵美	strongsubj	positive
香馥馥	strongsubj	positive
味道好	strongsubj	positive
手脚不干净	strongsubj	negative
索然寡味	strongsubj	negative
死板板	strongsubj	negative
松垮垮	strongsubj	negative
危在旦夕	strongsubj	negative
无纪律	strongsubj	negative
无实质	strongsubj	negative
险峭	weaksubj	negative
不明不白	midsubj	negative
不清不白	strongsubj	negative
不透明	weaksubj	negative
不雅	weaksubj	negative
不足为外人道	weaksubj	negative
有勇气	strongsubj	positive
玄妙	strongsubj	negative
长长短短	weaksubj	0
罪恶多端	strongsubj	negative
皱巴	strongsubj	negative
朝不谋夕	midsubj	0
逞性子	strongsubj	negative
臭名昭彰	strongsubj	negative
寸草不生	weaksubj	0
哀梨蒸食	strongsubj	negative
刀光剑影	weaksubj	0
度量小	strongsubj	negative
翻云覆雨	midsubj	negative
风刀霜剑	weaksubj	0
腐化堕落	strongsubj	negative
高不成低不就	weaksubj	negative
孤单单	midsubj	negative
寡断	strongsubj	negative
乖剌	strongsubj	negative
含糊不清	midsubj	negative
毫不客气	midsubj	negative
黑森森	midsubj	0
胡子拉碴	weaksubj	negative
荒诞派	strongsubj	negative
荒淫无度	strongsubj	negative
灰蒙蒙	weaksubj	0
智能型	midsubj	positive
晦暝	strongsubj	negative
谆谆	midsubj	positive
昏黑	weaksubj	negative
铮亮	weaksubj	positive
鸾凤和鸣	midsubj	positive
板脸	midsubj	0
抱疚	weaksubj	negative
憋着一肚子气	strongsubj	negative
愁惨	midsubj	negative
错愕	strongsubj	negative
掉魂	strongsubj	negative
发牢骚	weaksubj	negative
烦神	midsubj	negative
忿忿不平	midsubj	negative
惶然不安	midsubj	negative
急死	strongsubj	negative
介意	weaksubj	0
举棋不定	midsubj	0
口诛笔伐	midsubj	negative
拉不下脸来	weaksubj	0
骂得狗血喷头	strongsubj	negative
怒火冲天	strongsubj	0
气愤愤	midsubj	0
歉然	weaksubj	0
人身攻击	midsubj	negative
数落	weaksubj	0
痛责	midsubj	0
下不了台	midsubj	0
杏眼圆睁	weaksubj	positive
讶然失色	strongsubj	0
怔神儿	weaksubj	0
追悔莫及	strongsubj	0
彷徨	midsubj	0
爱上	midsubj	0
高山仰止	strongsubj	0
恨不得	strongsubj	0
祭拜	midsubj	0
敬服	midsubj	0
看上眼	weaksubj	0
梦魂萦绕	strongsubj	0
安好	weaksubj	positive
如痴如狂	strongsubj	0
安泰	weaksubj	positive
叹为观止	strongsubj	positive
忘乎所以	midsubj	0
尖嘴薄舌	midsubj	negative
艰苦卓绝	strongsubj	positive
心如铁石	strongsubj	negative
见风转舵	strongsubj	negative
叩拜	midsubj	0
倍儿棒	strongsubj	positive
竭蹶	strongsubj	0
彪壮	weaksubj	0
博闻广识	midsubj	positive
不动摇	weaksubj	0
不落俗套	midsubj	positive
可骇	strongsubj	negative
不泄气	weaksubj	positive
才气横溢	strongsubj	positive
空落落	strongsubj	0
枯寂	midsubj	negative
苦口	strongsubj	0
狂恣	strongsubj	negative
老辣	midsubj	negative
肋脦	strongsubj	negative
哩哩罗罗	weaksubj	negative
凛然	strongsubj	positive
伶仃	strongsubj	0
令人厌倦	strongsubj	negative
碌碌无为	strongsubj	negative
马马虎虎	midsubj	negative
莽莽撞撞	midsubj	negative
没骨头	strongsubj	negative
没两下子	strongsubj	negative
没心眼儿	weaksubj	negative
迷糊	midsubj	0
模棱两可	midsubj	negative
少见多怪	weaksubj	negative
难上难	midsubj	negative
一塌糊涂	strongsubj	negative
只顾自身利益	strongsubj	negative
一个心眼儿	strongsubj	positive
一级	strongsubj	positive
有头脑	strongsubj	positive
欣欣向荣	strongsubj	positive
难驯服	weaksubj	negative
闹闹嚷嚷	strongsubj	negative
贫寒	weaksubj	0
铺张浪费	strongsubj	negative
奇丑无比	strongsubj	negative
气壮如牛	weaksubj	positive
清苦	midsubj	0
穷途潦倒	strongsubj	negative
缺乏幽默	midsubj	negative
弱智	strongsubj	negative
色迷迷	strongsubj	negative
傻里傻气	midsubj	negative
神不知，鬼不觉	weaksubj	0
失落	strongsubj	0
食古不化	strongsubj	negative
喧天	strongsubj	negative
丰姿绰约	midsubj	positive
捉摸不定	strongsubj	negative
特等	midsubj	0
肝胆过人	weaksubj	positive
高档化	weaksubj	positive
高深莫测	weaksubj	0
革命性	weaksubj	positive
功德无量	strongsubj	positive
古朴	weaksubj	positive
过得硬	weaksubj	positive
很有抱负	midsubj	positive
数一数二	strongsubj	positive
花容月貌	midsubj	positive
受吃	weaksubj	positive
史无前例	strongsubj	positive
圣礼	strongsubj	0
滑天下之大稽	strongsubj	negative
生死不渝	strongsubj	0
深入人心	midsubj	positive
擅场	strongsubj	positive
上赶	strongsubj	negative
井然有序	midsubj	positive
举足轻重	midsubj	positive
人寿年丰	strongsubj	positive
俊俏	midsubj	positive
确凿无疑	strongsubj	0
确定	strongsubj	0
老成练达	weaksubj	3
鼠胆	strongsubj	negative
强势	weaksubj	0
浅显	weaksubj	0
心胸狭隘	strongsubj	negative
性格内向	strongsubj	negative
千姿百态	strongsubj	positive
气度恢宏	strongsubj	positive
起眼儿	weaksubj	0
越轨	strongsubj	negative
令人大开眼界	weaksubj	positive
完美无疵	strongsubj	positive
朴实无华	weaksubj	positive
无上光荣	strongsubj	positive
有嘴无心	strongsubj	positive
逸乐	strongsubj	positive
心宽	strongsubj	positive
无污染	strongsubj	positive
无拘束	strongsubj	positive
闻过则喜	strongsubj	positive
谈吐不俗	strongsubj	positive
名副其实	midsubj	positive
喷香	weaksubj	positive
哀莫大于心死	strongsubj	negative
安邦定国	strongsubj	positive
金瓯无缺	strongsubj	positive
我武惟扬	strongsubj	positive
乃心王室	strongsubj	positive
尽忠报国	strongsubj	positive
杀身报国	strongsubj	positive
忧国忘身	strongsubj	positive
济世经邦	strongsubj	positive
兴利除弊	strongsubj	positive
猫鼠同处	strongsubj	negative
四海鼎沸	strongsubj	negative
出疆载质	strongsubj	negative
委国听令	strongsubj	negative
国步艰难	strongsubj	negative
立国安邦	strongsubj	positive
溽热	weaksubj	negative
欢快	midsubj	positive
如意	weaksubj	positive
得志	weaksubj	positive
好日子	midsubj	positive
欢娱	midsubj	positive
庆幸	weaksubj	positive
喜气	midsubj	positive
兴高采烈	strongsubj	positive
快意	midsubj	positive
艳福	midsubj	0
乐陶陶	midsubj	positive
逗人	midsubj	positive
眉开眼笑	midsubj	positive
笑逐言开	midsubj	positive
距跃三百	strongsubj	positive
鹊笑鸠舞	strongsubj	positive
神采飞扬	midsubj	positive
忍俊不禁	midsubj	0
嫣然	midsubj	positive
笑噱	midsubj	0
和颜悦色	midsubj	positive
胡敲梆子乱击磬－欢喜若狂	strongsubj	0
新媳妇怀孕－暗喜	midsubj	0
侥幸	weaksubj	0
五世其昌	midsubj	positive
安乐窝	weaksubj	positive
偏爱	strongsubj	0
挂牵	weaksubj	positive
偏疼	weaksubj	negative
娇惯	midsubj	negative
流连	midsubj	0
顾惜	weaksubj	0
垂爱	midsubj	0
乐此不疲	midsubj	0
兴味	weaksubj	0
稀罕	midsubj	positive
一见钟情	strongsubj	0
挺拔	midsubj	positive
歆慕	weaksubj	0
心动	weaksubj	0
温顺	weaksubj	positive
不忍释手	strongsubj	positive
眷注	weaksubj	0
束身自修	weaksubj	positive
难舍难分	midsubj	positive
老牛舔犊	strongsubj	positive
渴望	strongsubj	0
热望	midsubj	0
乖乖	midsubj	positive
和暖	weaksubj	positive
温软	weaksubj	positive
温情脉脉	midsubj	positive
可口	weaksubj	positive
奇妙	midsubj	0
尊崇	strongsubj	positive
崇敬	strongsubj	positive
称颂	midsubj	positive
传颂	midsubj	positive
颂扬	strongsubj	positive
先烈	weaksubj	positive
恭谨	midsubj	positive
万寿无疆	midsubj	positive
福寿年高	weaksubj	positive
老前辈	midsubj	0
从善如流	midsubj	positive
尊贵	midsubj	positive
拜恳	weaksubj	positive
鼻祖	strongsubj	positive
和婉	weaksubj	positive
怡和	weaksubj	0
和顺	midsubj	positive
娴静	weaksubj	positive
安逸	weaksubj	0
安居乐业	midsubj	positive
安适	midsubj	positive
思念	midsubj	0
望眼欲穿	strongsubj	positive
引人深思	weaksubj	0
妥靠	weaksubj	positive
铁定	strongsubj	0
活脱脱	midsubj	positive
白璧无暇	strongsubj	positive
标兵	midsubj	positive
不同凡响	strongsubj	positive
诚挚	midsubj	positive
出色	midsubj	positive
恳挚	midsubj	positive
令人鼓舞	midsubj	positive
豪兴	strongsubj	positive
善始善终	midsubj	positive
果断	midsubj	positive
机智	midsubj	positive
健美	weaksubj	positive
侃侃而谈	weaksubj	positive
淳朴	midsubj	positive
大显神通	midsubj	positive
动听	midsubj	positive
丰碑	strongsubj	positive
刚毅	midsubj	positive
夸奖	midsubj	positive
肯切	weaksubj	positive
力挽狂澜	strongsubj	positive
流芳百世	strongsubj	positive
美不胜收	midsubj	positive
感人肺腑	weaksubj	positive
敏捷	midsubj	positive
能干	midsubj	positive
果敢	midsubj	positive
挺秀	midsubj	positive
娇娆	midsubj	positive
妙趣横生	weaksubj	positive
披荆斩棘	strongsubj	positive
气吞山河	strongsubj	positive
前赴后继	strongsubj	positive
勤勉	weaksubj	positive
热诚	midsubj	positive
日新月异	midsubj	positive
神采奕奕	midsubj	positive
盛名	strongsubj	positive
理解	midsubj	0
大义灭亲	strongsubj	0
忠心	midsubj	positive
坦率	midsubj	positive
推心置腹	midsubj	positive
文从字顺	midsubj	positive
无微不至	strongsubj	positive
闻名遐迩	strongsubj	positive
严明	weaksubj	positive
硬朗	weaksubj	positive
优美	midsubj	positive
惊佩	midsubj	positive
整洁	midsubj	positive
周到	midsubj	positive
节烈	midsubj	positive
慈善	midsubj	positive
正大	midsubj	positive
堂堂正正	strongsubj	positive
朴直	midsubj	positive
洁身自好	midsubj	positive
笃厚	midsubj	positive
憨厚	midsubj	positive
妥实	midsubj	positive
执着	midsubj	positive
不屈	midsubj	positive
勇武	midsubj	positive
初生牛犊	weaksubj	positive
大度	midsubj	positive
虚心	midsubj	positive
浩气	midsubj	positive
悃诚	midsubj	positive
肝胆相照	strongsubj	positive
天公地道	midsubj	positive
儒雅	midsubj	positive
赳赳	midsubj	positive
好强	midsubj	positive
道德	midsubj	positive
倜傥	midsubj	positive
安分	midsubj	positive
脆生	weaksubj	positive
赞扬	midsubj	positive
矢志不渝	strongsubj	positive
旱苗得雨	strongsubj	0
假以辞色	weaksubj	positive
亲切	midsubj	positive
神韵	midsubj	positive
含蓼问疾	midsubj	positive
情同骨肉	strongsubj	0
精确	midsubj	0
凉爽	midsubj	0
深思熟虑	midsubj	0
繁华	midsubj	positive
健壮	weaksubj	positive
辽阔	weaksubj	positive
轻捷	weaksubj	positive
适当	midsubj	positive
香喷喷	midsubj	positive
雄厚	midsubj	positive
准确	midsubj	positive
清洌	weaksubj	positive
宽大为怀	midsubj	positive
代代红	midsubj	positive
急若流星	midsubj	0
舍己救人	midsubj	positive
匡救	midsubj	positive
驰援	midsubj	positive
咏赞	strongsubj	positive
称道	midsubj	positive
赞叹不已	strongsubj	positive
娟秀	midsubj	positive
秀媚	midsubj	positive
分外夺目	midsubj	positive
毫不利己	midsubj	positive
廉明	midsubj	positive
道不拾遗	midsubj	positive
圣人	strongsubj	positive
贤良	midsubj	positive
势不可当	midsubj	positive
惊天动地	strongsubj	0
准儿	weaksubj	positive
其味无穷	strongsubj	0
入木三分	strongsubj	positive
流芳千古	strongsubj	positive
声名远播	strongsubj	positive
有头有脸	midsubj	positive
精美绝伦	strongsubj	positive
独占鳌头	strongsubj	positive
一枝独秀	strongsubj	positive
独具匠心	strongsubj	positive
鹤立鸡群	strongsubj	positive
不赖	weaksubj	positive
钢铁长城	midsubj	positive
帮扶	weaksubj	positive
宝地	strongsubj	positive
报答	midsubj	positive
辈出	weaksubj	positive
愤懑	midsubj	negative
悲愤	strongsubj	0
勃然大怒	strongsubj	0
含怒	weaksubj	0
恼羞成怒	midsubj	0
忿怒	midsubj	0
七窍生烟	midsubj	0
发标	midsubj	0
怒容	midsubj	0
吹胡子	strongsubj	0
唱老生的生气－吹胡子瞪眼镜	strongsubj	0
暴跳如雷	strongsubj	negative
戟指怒目	strongsubj	negative
怒形于色	weaksubj	negative
怒目切齿	midsubj	negative
城下之盟	strongsubj	negative
悲恸	strongsubj	0
悲哀	midsubj	0
悲伤	midsubj	0
衔冤	strongsubj	0
心如刀割	strongsubj	0
痛惜	strongsubj	0
悲酸	midsubj	0
举目无亲	weaksubj	0
洒泪	midsubj	0
啜泣	midsubj	0
号啕	strongsubj	0
最后一根稻草	strongsubj	0
抚髀兴叹	weaksubj	negative
参辰卯酉	strongsubj	0
倒霉	weaksubj	0
哀感天地	strongsubj	0
惨不忍闻	strongsubj	0
不胜其苦	midsubj	0
叹息	weaksubj	0
悲号	strongsubj	0
诚惶诚恐	midsubj	0
魂飞魄散	strongsubj	0
面如土色	strongsubj	0
疑惧	weaksubj	0
幽灵	weaksubj	0
三伏天发抖－不寒而栗	midsubj	0
吞吞吐吐	weaksubj	negative
不可终日	strongsubj	0
栗栗危惧	midsubj	0
夏日可畏	weaksubj	negative
败类	strongsubj	positive
剥削	weaksubj	negative
猖獗	weaksubj	negative
臭架子	weaksubj	negative
苟延残喘	weaksubj	negative
悍然	midsubj	negative
伎俩	weaksubj	negative
党羽	weaksubj	negative
讹诈	midsubj	negative
飞扬跋扈	weaksubj	negative
复辟	weaksubj	negative
老狐狸	strongsubj	negative
笼络	weaksubj	negative
厌恶	strongsubj	negative
可憎	strongsubj	negative
叛徒	midsubj	negative
欺凌	weaksubj	negative
敲诈	midsubj	negative
屈辱	weaksubj	negative
轻蔑	strongsubj	negative
撒赖	weaksubj	negative
伤天害理	strongsubj	negative
为所欲为	midsubj	negative
乌合之众	midsubj	negative
吸血鬼	strongsubj	negative
阴谋	midsubj	negative
指鹿为马	midsubj	negative
罪有应得	midsubj	negative
看轻	weaksubj	negative
兽行	strongsubj	negative
贪色	weaksubj	negative
作践	strongsubj	negative
凶相毕露	midsubj	negative
棺材老板咬牙－恨不死人	weaksubj	negative
行同狗彘	strongsubj	negative
视如寇仇	strongsubj	negative
切齿腐心	strongsubj	negative
令人作呕	strongsubj	negative
不以为然	strongsubj	negative
文人相轻	weaksubj	negative
王八蛋	strongsubj	negative
姘妇	weaksubj	negative
揶揄	weaksubj	negative
癞皮狗	strongsubj	negative
元凶	weaksubj	negative
妖孽	strongsubj	negative
骚货	strongsubj	negative
中伤	midsubj	negative
嘈杂	weaksubj	negative
苦恼	midsubj	0
犯愁	weaksubj	0
颓然	weaksubj	0
忍气吞声	strongsubj	0
不耐烦	midsubj	0
焦炙	strongsubj	0
疑念	weaksubj	0
愧恨	strongsubj	0
沉寂	strongsubj	0
愁肠寸断	strongsubj	negative
忧心如薰	strongsubj	negative
生吞蜈蚣－百爪挠心	strongsubj	negative
贫穷	midsubj	0
无所措手足	midsubj	negative
不如意事常八九	weaksubj	negative
燥热	weaksubj	negative
将就	weaksubj	0
羞愧	midsubj	0
脸红	weaksubj	0
无面目见江东父老	strongsubj	negative
抱愧	weaksubj	0
愧怍	midsubj	0
悔恨	strongsubj	0
涵容	weaksubj	0
愧悔无地	strongsubj	0
船到江心补漏迟	strongsubj	negative
慌乱	strongsubj	0
如坐针毡	strongsubj	0
心焦	midsubj	0
张皇	weaksubj	negative
浮躁	midsubj	negative
周章	weaksubj	0
心如悬旌	midsubj	negative
鞋里长草－慌了脚	weaksubj	0
紧急	weaksubj	0
五色无主	strongsubj	0
脚忙手乱	midsubj	negative
心如火焚	strongsubj	negative
死心	strongsubj	0
心灰意冷	midsubj	0
不可企及	strongsubj	negative
怀揣冰棍－凉透心	strongsubj	0
嫉妒	strongsubj	negative
醋意	weaksubj	negative
忧人发迹怕自穷	weaksubj	0
猜忌	midsubj	negative
疑团	strongsubj	0
田里的蚯蚓－满肚疑	weaksubj	0
败家子	strongsubj	negative
闭门造车	midsubj	negative
草包	strongsubj	negative
乘人之危	midsubj	negative
记仇	midsubj	negative
妄求	weaksubj	negative
累世通好	midsubj	positive
人浮于事	strongsubj	negative
繁荣昌盛	strongsubj	positive
鸿均之世	midsubj	positive
年丰时稔	midsubj	positive
五风十雨	midsubj	positive
分崩离析	midsubj	negative
人欲横流	strongsubj	negative
拨乱反治	midsubj	positive
秋荼密网	midsubj	negative
抑塞磊落	weaksubj	positive
鞭笞天下	strongsubj	positive
腹中兵甲	strongsubj	positive
牛刀小试	weaksubj	positive
臣门如市，臣心如水	strongsubj	positive
欺瞒夹账	strongsubj	negative
卖官鬻狱	strongsubj	negative
口快心直	weaksubj	positive
夺人所好	strongsubj	negative
营私舞弊	strongsubj	negative
缓急相济	weaksubj	positive
久要不忘	strongsubj	positive
言而不渝	strongsubj	positive
卖友求荣	strongsubj	negative
废奢长俭	strongsubj	positive
宽打窄用	midsubj	positive
斫雕为朴	strongsubj	positive
金迷纸醉	strongsubj	negative
天下箸处	strongsubj	negative
别具只眼	midsubj	positive
推陈出新	strongsubj	positive
地利人和	midsubj	positive
一路顺风	midsubj	positive
难于上天	strongsubj	0
矢志不愈	strongsubj	positive
称体裁衣	weaksubj	positive
刚克柔克	weaksubj	positive
知之为知之，不知为不知	weaksubj	positive
唱筹量沙	weaksubj	negative
以人废言	midsubj	negative
越凫楚乙	midsubj	negative
东躲西藏	weaksubj	negative
大相径庭	midsubj	negative
判若云泥	strongsubj	negative
天悬地隔	weaksubj	0
坠茵落溷	midsubj	negative
力疾从公	midsubj	positive
握蛇骑虎	strongsubj	0
日暮穷途	strongsubj	0
一板三眼	midsubj	positive
山重水复	midsubj	0
抱火寝薪	midsubj	0
三反四覆	midsubj	negative
归全反真	weaksubj	positive
再作冯妇	midsubj	positive
智者千虑，必有一失	weaksubj	0
与人为善	midsubj	positive
同归于尽	weaksubj	negative
良工巧匠	midsubj	positive
艺高胆大	midsubj	positive
三对六面	weaksubj	0
火上浇油	strongsubj	negative
变古易常	midsubj	positive
先天不足	weaksubj	negative
道高一尺，魔高一仗	weaksubj	0
摇身一变	strongsubj	0
乘风转舵	midsubj	negative
以火救火	weaksubj	negative
海阔天空	midsubj	positive
善气迎人	weaksubj	positive
珠联璧合	strongsubj	positive
敢怒不敢言	midsubj	negative
麟角凤嘴	strongsubj	positive
致死不悟	strongsubj	negative
我行我素	midsubj	negative
五马分尸	midsubj	negative
黄口稚子	midsubj	negative
天有不测风云	weaksubj	negative
茫无头绪	midsubj	negative
不知天高地厚	midsubj	negative
洞房花烛	midsubj	positive
干啼湿哭	midsubj	0
泣下沾襟	strongsubj	0
嘘唏不已	midsubj	0
三媒六证	midsubj	0
哑然失笑	weaksubj	0
陶猗之家	midsubj	positive
峻宇雕墙	weaksubj	positive
立锥之地	weaksubj	negative
赏信罚明	midsubj	positive
黄道吉日	weaksubj	positive
旁门左道	strongsubj	negative
大难临头	midsubj	negative
骨瘦如柴	midsubj	negative
药店飞龙	midsubj	negative
不治之症	midsubj	negative
披麻戴孝	midsubj	0
鳏寡孤独	strongsubj	0
离群索居	weaksubj	0
相门有相	midsubj	0
驰名天下	strongsubj	positive
名标青史	strongsubj	positive
人死留名	midsubj	positive
谈笑风生	strongsubj	positive
不经之谈	weaksubj	negative
混为一谈	weaksubj	negative
游谈无根	midsubj	negative
巧言花语	midsubj	negative
口头禅	weaksubj	negative
多嘴多舌	midsubj	negative
唠唠叨叨	weaksubj	negative
絮絮叨叨	weaksubj	negative
即即世世	weaksubj	negative
顾名思义	weaksubj	0
随时制宜	weaksubj	positive
没齿不忘	strongsubj	positive
顿开茅塞	weaksubj	positive
了若指掌	midsubj	positive
先知先觉	weaksubj	positive
抚躬责己	midsubj	positive
隐晦曲折	weaksubj	negative
耳食之谈	weaksubj	negative
靠天吃饭	weaksubj	0
强龙不压地头蛇	weaksubj	negative
倚官仗势	midsubj	negative
不耕而食，不蚕而衣	weaksubj	negative
欺罔视听	strongsubj	negative
甜嘴蜜舌	midsubj	negative
鸿飞冥冥	midsubj	positive
前门进虎，后门进狼	weaksubj	negative
在劫难逃	midsubj	negative
草衣木食	weaksubj	negative
等米下锅	weaksubj	negative
家道壁立	weaksubj	negative
纳履踵决	weaksubj	negative
飞短流长	midsubj	negative
薏苡明珠	midsubj	negative
利息秋毫	weaksubj	positive
关门闭户	weaksubj	0
豺狐之心	strongsubj	negative
瓜蔓抄	strongsubj	negative
玉粒桂薪	weaksubj	negative
债台高筑	strongsubj	negative
刚毅不讷	strongsubj	positive
无拳无勇	midsubj	negative
鞍不离马，甲不离身	midsubj	positive
枕戈待旦	midsubj	positive
迟疑不决	weaksubj	negative
仓卒应战	strongsubj	negative
犹豫不定	weaksubj	negative
低首下心	weaksubj	negative
盖不由己	weaksubj	negative
锱铢必较	strongsubj	negative
张公吃酒李公醉	weaksubj	negative
鼠窜狼奔	midsubj	negative
嘴甜心苦	midsubj	negative
强盗挂念珠	strongsubj	negative
见事风生	midsubj	negative
报仇雪恨	strongsubj	negative
招权纳赂	midsubj	negative
缓不济急	midsubj	0
屏声息气	weaksubj	0
歧路亡羊	midsubj	negative
千了百当	weaksubj	positive
冬扇夏炉	midsubj	negative
喧宾夺主	midsubj	negative
日月交食	midsubj	negative
漏脯充饥	strongsubj	negative
束手待毙	midsubj	negative
抛头露面	midsubj	negative
原形毕露	strongsubj	negative
因祸得福	midsubj	positive
人民城郭	midsubj	negative
联翩而至	midsubj	0
自相残杀	strongsubj	negative
强人所难	midsubj	negative
有隙可乘	weaksubj	negative
欺善怕恶	strongsubj	negative
肆意横行	strongsubj	negative
横行天下	strongsubj	negative
知情不举	strongsubj	negative
博士买驴	weaksubj	negative
屦贱踊贵	weaksubj	negative
结党营私	strongsubj	negative
招降纳叛	midsubj	negative
任其自便	weaksubj	negative
惹祸招殃	midsubj	negative
招风惹草	midsubj	negative
鼓噪而起	midsubj	negative
出乖露丑	midsubj	negative
谏鼓谤木	midsubj	positive
高下在心	weaksubj	positive
殚智竭力	strongsubj	positive
草草收兵	midsubj	negative
图谋不轨	midsubj	negative
贪欢逐乐	strongsubj	negative
春深似海	midsubj	positive
天朗气清	strongsubj	positive
秋高气肃	midsubj	positive
天府之国	strongsubj	positive
群芳竟艳	midsubj	positive
绿水青山	strongsubj	positive
光彩耀日	midsubj	positive
除恶务尽	midsubj	0
评头品足	midsubj	negative
胆大包天	strongsubj	negative
涸泽而渔	strongsubj	negative
搔头弄姿	midsubj	negative
逼上梁山	midsubj	0
反客为主	weaksubj	3
小试锋芒	weaksubj	positive
左右开弓	weaksubj	positive
出口成章	strongsubj	positive
兼资文武	strongsubj	positive
陆海潘江	strongsubj	positive
七步成诗	strongsubj	positive
神机妙算	strongsubj	positive
胸中甲兵	strongsubj	positive
卓荦超伦	strongsubj	positive
殚见洽文	strongsubj	positive
闳大不经	strongsubj	positive
通人达才	strongsubj	positive
蜀犬吠日	weaksubj	negative
真知灼见	midsubj	positive
白日升天	weaksubj	positive
破壁飞去	midsubj	positive
彪炳千古	strongsubj	positive
涉笔成趣	strongsubj	positive
赞不绝口	strongsubj	positive
折足覆餗	midsubj	negative
土牛木马	midsubj	negative
玉卮无当	midsubj	negative
鸠形鹄面	weaksubj	negative
时通运泰	midsubj	positive
放歌纵酒	midsubj	positive
凤冠霞帔	weaksubj	positive
桃李满天下	strongsubj	positive
再造之恩	strongsubj	positive
藏器待时	midsubj	positive
可操左券	strongsubj	positive
根深叶茂	strongsubj	positive
一箭双雕	midsubj	positive
功高不赏	strongsubj	positive
不遗余力	strongsubj	positive
兼功自厉	strongsubj	positive
卧薪尝胆	strongsubj	positive
拔树寻根	strongsubj	positive
明目达聪	midsubj	positive
手到病除	midsubj	positive
胆略兼人	weaksubj	positive
凤鸣朝阳	midsubj	positive
鸾翔凤集	midsubj	positive
祥麟威凤	strongsubj	positive
下笔有神	midsubj	positive
未雨绸缪	midsubj	positive
仙风道骨	strongsubj	positive
一表堂堂	midsubj	positive
感恩图报	midsubj	positive
妙处不传	midsubj	positive
如闻其声，如见其人	weaksubj	positive
危言危行	midsubj	positive
执法不阿	midsubj	positive
平地楼台	midsubj	positive
福至心灵	midsubj	positive
改弦易辙	weaksubj	0
风樯阵马	midsubj	positive
饮醇自醉	weaksubj	positive
人自为战	weaksubj	positive
及锋而试	weaksubj	positive
兵强将勇	midsubj	positive
节节胜利	midsubj	positive
所向披靡	strongsubj	positive
熊罴之师	midsubj	positive
